Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C31, C35, C38, C4, C7",0805,7,10uF,C15850
"C10, C27",0603,2,22pF,C327276
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C32, C8, C9",0603,18,100nF,C14663
"C2, C3, C5, C6",0603,4,1uF,C5137572
"C33, C34",0603,2,220pF,C384787
D1,SOD-523_L1.2-W0.8-LS1.6-BI,1,LESD5D5.0CT1G,
D2,0603,1,RED Power,C2286
"FB1, FB2",0603,2,PBY160808T-102Y-N,C142079
J2,PinSocket_2x03_P2.54mm_Vertical,1,SAO,C5116527
"LED1, LED10, LED11, LED12, LED13, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED-SMD_4P-L1.6-W1.5_XL-1615RGBC-WS2812B,13,WS2812B,
Q1,SOT-23,1,BSS138,C427380
"R1, R10, R11",0603,3,5.1K,C473622
"R12, R13",0603,2,3.3K,C2692828
"R2, R4, R5, R6, R9",0603,5,100K,C132374
R7,0603,1,300,C132374
SPK1,SPK-TH_BD23.0-P10.00-D0.8-L-RD,1,GSPK2307P-8R1W,
SW1,SW-SMD_4P-L4.2-W3.4-P2.15-LS5.2,1,BOOT,C2888434
SW2,SW-SMD_4P-L4.2-W3.4-P2.15-LS5.2,1,RESET,C2888434
U1,WIFI-SMD_ESP32-MINI-1-N4,1,ESP32-MINI-1-N4,C2847294
U2,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,MAX98357AETE+T,
U4,SOT-23-6,1,USBLC6-2SC6,C2687116
"U6, U7",SOT-23-5,2,XC6220B331MR,C3040644
USB1,USB-TYPE-C-SMD_MC-107SSY,1,MC-107SSY,C3039307
