Designator,Mid X,Mid Y,Rotation,Layer
C1,167.6,-78.9,90.0,bottom
C10,149.625,-84.4,0.0,bottom
C11,162.3,-69.7,90.0,bottom
C12,138.35,-82.0,180.0,bottom
C13,111.7,-124.35,297.0,bottom
C14,116.1,-115.85,289.0,bottom
C15,119.15,-107.15,283.0,bottom
C16,120.8,-100.15,280.0,bottom
C17,122.3,-91.45,276.0,bottom
C18,123.55,-80.75,272.0,bottom
C19,123.7,-72.8,270.0,bottom
C2,135.1,-97.9,180.0,bottom
C20,180.7,-69.6,100.0,bottom
C21,179.25,-78.5,88.0,bottom
C22,179.7,-87.25,83.0,bottom
C23,181.238868,-97.641936,78.0,bottom
C24,184.661132,-113.641936,258.0,bottom
C25,189.8,-123.45,238.0,bottom
C26,160.2,-69.7,90.0,bottom
C27,152.9,-84.4,180.0,bottom
C3,135.1,-104.35,180.0,bottom
C31,131.4125,-101.05,90.0,bottom
C32,129.2125,-101.05,90.0,bottom
C33,130.1,-107.3,90.0,bottom
C34,130.1,-110.8,270.0,bottom
C35,135.15,-95.75,180.0,bottom
C38,135.1,-106.4,180.0,bottom
C4,178.35,-101.6,0.0,bottom
C5,165.4,-78.875,90.0,bottom
C6,161.6,-76.1,180.0,bottom
C7,161.6,-74.0,180.0,bottom
C8,178.0,-109.15,180.0,bottom
C9,164.0,-82.4,0.0,bottom
D1,177.95,-103.8,0.0,bottom
D2,165.8,-66.25,0.0,bottom
FB1,127.2,-108.1,180.0,bottom
FB2,127.2,-110.0,180.0,bottom
J2,148.025,-87.5,90.0,top
LED1,113.6,-121.0,243.0,top
LED10,180.2,-91.0,97.0,top
LED11,182.083244,-101.103712,102.0,top
LED12,184.0,-110.3,100.0,top
LED13,188.2,-120.7,122.0,top
LED2,117.473328,-112.3507,251.0,top
LED3,120.1,-103.3,257.0,top
LED4,121.45,-96.6,260.0,top
LED5,122.8,-87.5,264.0,top
LED6,123.7,-76.8,268.0,top
LED7,123.65,-68.8,270.0,top
LED8,179.78,-73.6,80.0,top
LED9,179.27,-82.0,92.0,top
Q1,122.5,-120.9625,270.0,bottom
R1,165.85,-68.05,0.0,bottom
R10,178.8,-112.325,90.0,bottom
R11,176.9,-112.325,90.0,bottom
R12,145.0,-88.8,270.0,bottom
R13,145.0,-92.0,270.0,bottom
R2,138.5,-100.9,270.0,bottom
R4,132.7,-85.625,90.0,bottom
R5,122.5,-117.8125,180.0,bottom
R6,119.37,-121.1225,270.0,bottom
R7,121.67,-124.1225,180.0,bottom
R9,130.0,-98.1,0.0,bottom
SPK1,150.55,-105.8,180.0,bottom
SW1,164.075,-85.52,0.0,bottom
SW2,137.35,-85.52,0.0,bottom
U1,150.9,-75.2,0.0,bottom
U2,126.2125,-101.05,180.0,bottom
U4,177.95,-106.35,0.0,bottom
U6,161.65,-78.9,0.0,bottom
U7,135.1,-101.2,270.0,bottom
USB1,184.2,-105.5,258.0,bottom
